fileName,date,status,stars,language,error
actiona.ts,2026-03-22,success,669,C++,
activepieces.ts,2026-03-22,success,21368,TypeScript,
agent-llm.ts,2026-03-22,success,3166,Python,
agent-protocol.ts,2026-03-22,success,1455,Python,
agent-s.ts,2026-03-22,success,10488,Python,
agentevals.ts,2026-03-22,success,15,Python,
agentgpt.ts,2026-03-22,success,35864,TypeScript,
agently.ts,2026-03-22,success,1,Python,
agents-thudm.ts,2026-03-22,no_data,,,
agentscope.ts,2026-03-22,success,18398,Python,
agentsflex.ts,2026-03-22,success,1335,Java,
agenttuning.ts,2026-03-22,success,1484,Python,
agentverse.ts,2026-03-22,success,4971,JavaScript,
aider.ts,2026-03-22,success,42243,Python,
andi.ts,2026-03-22,no_repo,,,
anthropic-computer-use.ts,2026-03-22,no_repo,,,
anythingllm.ts,2026-03-22,success,56585,JavaScript,
arc-search.ts,2026-03-22,no_repo,,,
arkclaw.ts,2026-03-22,no_repo,,,
askcodi.ts,2026-03-22,no_repo,,,
autogen-studio.ts,2026-03-22,success,56016,Python,
autogen.ts,2026-03-22,success,56009,Python,
autoglm.ts,2026-03-22,no_repo,,,
autogluon.ts,2026-03-22,success,10129,Python,
autogpt.ts,2026-03-22,success,182699,Python,
autohotkey.ts,2026-03-22,success,12109,C++,
automation-anywhere.ts,2026-03-22,no_repo,,,
azureclaw.ts,2026-03-22,no_repo,,,
babyagi.ts,2026-03-22,success,22202,Python,
baichuanclaw.ts,2026-03-22,no_repo,,,
baidu-comate-agent.ts,2026-03-22,no_repo,,,
bardeen.ts,2026-03-22,no_repo,,,
bedrockclaw.ts,2026-03-22,no_repo,,,
bito.ts,2026-03-22,no_repo,,,
blue-prism.ts,2026-03-22,no_repo,,,
brave-leo.ts,2026-03-22,no_repo,,,
browseruse.ts,2026-03-22,success,82294,Python,
camel.ts,2026-03-22,success,16453,Python,
character-ai.ts,2026-03-22,no_repo,,,
chatgpt.ts,2026-03-22,no_repo,,,
claude-ai.ts,2026-03-22,no_repo,,,
clawai.ts,2026-03-22,no_repo,,,
clawapi.ts,2026-03-22,success,329937,TypeScript,
clawbot.ts,2026-03-22,success,868,,
clawbridge.ts,2026-03-22,success,208,JavaScript,
clawcache.ts,2026-03-22,success,329937,TypeScript,
clawcli.ts,2026-03-22,success,329937,TypeScript,
clawconfig.ts,2026-03-22,success,329937,TypeScript,
clawcs.ts,2026-03-22,success,329926,TypeScript,
clawdata.ts,2026-03-22,success,26,TypeScript,
clawdocs.ts,2026-03-22,success,1,TypeScript,
clawflow.ts,2026-03-22,success,329926,TypeScript,
clawgo.ts,2026-03-22,success,72,Go,
clawhub.ts,2026-03-22,success,6604,TypeScript,
clawjava.ts,2026-03-22,success,169,Java,
clawjs.ts,2026-03-22,no_data,,,
clawlite.ts,2026-03-22,success,31,Python,
clawlog.ts,2026-03-22,success,329926,TypeScript,
clawmetrics.ts,2026-03-22,success,329926,TypeScript,
clawml.ts,2026-03-22,success,329937,TypeScript,
clawmonitor.ts,2026-03-22,success,329926,TypeScript,
clawops.ts,2026-03-22,success,329926,TypeScript,
clawpro.ts,2026-03-22,no_repo,,,
clawqueue.ts,2026-03-22,success,329926,TypeScript,
clawrs.ts,2026-03-22,no_data,,,
clawsdk.ts,2026-03-22,success,329926,TypeScript,
clawsecrets.ts,2026-03-22,success,329937,TypeScript,
clawsecure.ts,2026-03-22,success,329926,TypeScript,
clawstudio.ts,2026-03-22,success,329926,TypeScript,
clawsync.ts,2026-03-22,success,329937,TypeScript,
clawtest.ts,2026-03-22,success,329926,TypeScript,
clawtrace.ts,2026-03-22,success,2,JavaScript,
cline.ts,2026-03-22,success,59241,TypeScript,
cloudflareclaw.ts,2026-03-22,no_repo,,,
codacy.ts,2026-03-22,no_repo,,,
codegeex.ts,2026-03-22,success,7596,Python,
codellama.ts,2026-03-22,success,16338,Python,
codesandbox-ai.ts,2026-03-22,no_repo,,,
cognosys.ts,2026-03-22,no_repo,,,
computeruse.ts,2026-03-22,no_repo,,,
continuedev.ts,2026-03-22,success,31982,TypeScript,
copaw.ts,2026-03-22,no_repo,,,
copilot.ts,2026-03-22,no_repo,,,
copilotcli.ts,2026-03-22,success,9502,Shell,
coze.ts,2026-03-22,no_repo,,,
crewai.ts,2026-03-22,success,46838,Python,
cursor-agent.ts,2026-03-22,no_repo,,,
danswer.ts,2026-03-22,success,17977,Python,
databricks.ts,2026-03-22,no_repo,,,
deepseekcoder.ts,2026-03-22,success,22944,Python,
devin.ts,2026-03-22,no_repo,,,
devon.ts,2026-03-22,success,3454,Python,
dify.ts,2026-03-22,success,133942,TypeScript,
digitaloceanclaw.ts,2026-03-22,no_repo,,,
dobaoclaw.ts,2026-03-22,no_repo,,,
fastgpt.ts,2026-03-22,success,27464,TypeScript,
fauxpilot.ts,2026-03-22,success,14761,Python,
flowise.ts,2026-03-22,success,50976,TypeScript,
flyclaw.ts,2026-03-22,no_repo,,,
gcpclaw.ts,2026-03-22,no_repo,,,
gemini.ts,2026-03-22,no_repo,,,
github-copilot-workspace.ts,2026-03-22,no_repo,,,
glmclaw.ts,2026-03-22,no_repo,,,
gpt-engineer.ts,2026-03-22,success,55233,Python,
gpt-researcher.ts,2026-03-22,success,25920,Python,
gpt4all.ts,2026-03-22,success,77232,C++,
gpt4free.ts,2026-03-22,success,65841,Python,
guiagent.ts,2026-03-22,success,1147,,
gumloop.ts,2026-03-22,no_repo,,,
haystack.ts,2026-03-22,success,24586,MDX,
herokuclaw.ts,2026-03-22,no_repo,,,
hunyuanclaw.ts,2026-03-22,no_repo,,,
ibmclaw.ts,2026-03-22,no_repo,,,
ifttt.ts,2026-03-22,no_repo,,,
instructcode.ts,2026-03-22,no_data,,,
jan.ts,2026-03-22,success,41190,TypeScript,
jetbrains-ai.ts,2026-03-22,no_repo,,,
khoj.ts,2026-03-22,success,33558,Python,
kimiclaw.ts,2026-03-22,no_repo,,,
komo.ts,2026-03-22,no_repo,,,
langchain.ts,2026-03-22,success,130580,Python,
langflow.ts,2026-03-22,success,146052,Python,
langgraph.ts,2026-03-22,success,27141,Python,
langserve.ts,2026-03-22,success,2289,JavaScript,
librechat.ts,2026-03-22,success,34844,TypeScript,
llamaindex.ts,2026-03-22,success,47861,Python,
localgpt.ts,2026-03-22,success,22212,Python,
magical.ts,2026-03-22,no_repo,,,
make.ts,2026-03-22,no_repo,,,
manus.ts,2026-03-22,no_repo,,,
maxclaw.ts,2026-03-22,no_repo,,,
maxkb.ts,2026-03-22,success,20532,Python,
memgpt.ts,2026-03-22,success,21700,Python,
metagpt.ts,2026-03-22,success,65800,Python,
miniage.ts,2026-03-22,success,137,Python,
miniclaw.ts,2026-03-22,success,4740,C,
mintlify.ts,2026-03-22,no_repo,,,
modelartsclaw.ts,2026-03-22,no_repo,,,
moltis.ts,2026-03-22,success,2325,Rust,
mongodbclaw.ts,2026-03-22,no_repo,,,
multion.ts,2026-03-22,no_repo,,,
mutable-ai.ts,2026-03-22,no_repo,,,
n8n.ts,2026-03-22,success,180482,TypeScript,
nanobot.ts,2026-03-22,success,35457,Python,
nutjs.ts,2026-03-22,success,2789,TypeScript,
ollama.ts,2026-03-22,success,165866,Go,
omniparser.ts,2026-03-22,success,24565,Jupyter Notebook,
openadapt.ts,2026-03-22,success,1523,Python,
openassistant.ts,2026-03-22,success,37435,Python,
openclaw.ts,2026-03-22,success,329876,TypeScript,
openfang.ts,2026-03-22,success,15241,Rust,
openhands.ts,2026-03-22,success,69539,Python,
openinterpreter.ts,2026-03-22,success,62824,Python,
openrpa.ts,2026-03-22,success,2900,C#,
openwebui.ts,2026-03-22,success,128246,Python,
oracleclaw.ts,2026-03-22,no_repo,,,
panguclaw.ts,2026-03-22,no_repo,,,
pearai.ts,2026-03-22,success,731,Shell,
perplexica.ts,2026-03-22,success,33289,TypeScript,
perplexity.ts,2026-03-22,no_repo,,,
phidata.ts,2026-03-22,success,38855,Python,
phind.ts,2026-03-22,no_repo,,,
pi.ts,2026-03-22,no_repo,,,
picoclaw.ts,2026-03-22,success,414,Go,
pieces.ts,2026-03-22,no_repo,,,
pipedream.ts,2026-03-22,success,11194,JavaScript,
plandex.ts,2026-03-22,success,15120,Go,
playwright.ts,2026-03-22,success,84735,TypeScript,
poe.ts,2026-03-22,no_repo,,,
power-automate.ts,2026-03-22,no_repo,,,
praisonai.ts,2026-03-22,success,5713,Python,
privategpt.ts,2026-03-22,success,57191,Python,
puppeteer.ts,2026-03-22,success,93898,TypeScript,
pyautogui.ts,2026-03-22,success,12380,Python,
pyclaw.ts,2026-03-22,no_data,,,
qianfanclaw.ts,2026-03-22,no_repo,,,
qwen-agent.ts,2026-03-22,success,15726,Python,
railwayclaw.ts,2026-03-22,no_repo,,,
refact.ts,2026-03-22,success,3524,Rust,
renderclaw.ts,2026-03-22,no_repo,,,
replit-agent.ts,2026-03-22,no_repo,,,
robocorp.ts,2026-03-22,success,23,,
robotframework.ts,2026-03-22,success,11496,Python,
robotgo.ts,2026-03-22,success,10657,Go,
roocode.ts,2026-03-22,success,22787,TypeScript,
rpapython.ts,2026-03-22,success,5464,Python,
salesforceclaw.ts,2026-03-22,no_repo,,,
sapclaw.ts,2026-03-22,no_repo,,,
screenpilot.ts,2026-03-22,success,51,Python,
seeact.ts,2026-03-22,success,837,Python,
selenium.ts,2026-03-22,success,34163,Java,
semantic-kernel.ts,2026-03-22,success,27528,C#,
sensechatclaw.ts,2026-03-22,no_repo,,,
servicenowclaw.ts,2026-03-22,no_repo,,,
shengsuclaw.ts,2026-03-22,no_repo,,,
sikulix.ts,2026-03-22,success,3143,Java,
skyvern.ts,2026-03-22,success,20891,Python,
smoldeveloper.ts,2026-03-22,success,12202,Python,
snowflakeclaw.ts,2026-03-22,no_repo,,,
sourcegraph-cody.ts,2026-03-22,no_repo,,,
sparkclaw.ts,2026-03-22,no_repo,,,
stackblitz.ts,2026-03-22,no_repo,,,
stagehand.ts,2026-03-22,success,21652,TypeScript,
starcoder.ts,2026-03-22,success,7528,Python,
stepclaw.ts,2026-03-22,no_repo,,,
supabaseclaw.ts,2026-03-22,no_repo,,,
superagi.ts,2026-03-22,success,17292,Python,
swarm.ts,2026-03-22,success,21206,Python,
sweep.ts,2026-03-22,success,7651,Jupyter Notebook,
tabby.ts,2026-03-22,success,33036,Rust,
tagui.ts,2026-03-22,success,6241,JavaScript,
taskweaver.ts,2026-03-22,success,6131,Python,
ticlaw.ts,2026-03-22,no_repo,,,
tongyiclaw.ts,2026-03-22,no_repo,,,
tray.ts,2026-03-22,no_repo,,,
uagents.ts,2026-03-22,success,1578,Python,
ufo.ts,2026-03-22,success,8204,Python,
uipath.ts,2026-03-22,no_repo,,,
uivision.ts,2026-03-22,success,1867,JavaScript,
v0.ts,2026-03-22,no_repo,,,
vercelclaw.ts,2026-03-22,no_repo,,,
wenxinclaw.ts,2026-03-22,no_repo,,,
windsurf.ts,2026-03-22,no_repo,,,
wizardcoder.ts,2026-03-22,success,9478,Python,
workato.ts,2026-03-22,no_repo,,,
workdayclaw.ts,2026-03-22,no_repo,,,
xarm.ts,2026-03-22,success,60,C++,
xinghuoclaw.ts,2026-03-22,no_repo,,,
yanxiclaw.ts,2026-03-22,no_repo,,,
youcom.ts,2026-03-22,no_repo,,,
zapier-central.ts,2026-03-22,no_repo,,,
zapier.ts,2026-03-22,no_repo,,,
zeroclaw.ts,2026-03-22,success,28384,Rust,